,index,STATE,ZIPCODE,N2,A02650,Total Income per Individual,lng,lat
0,12873,MS,38738,140.0,577.0,4.121428571428571,-90.53653,33.93049
1,13576,MO,64147,280.0,1591.0,5.682142857142857,-94.54688,38.85387
2,22399,SD,57794,390.0,3206.0,8.22051282051282,-102.40695,43.12071
3,22477,TN,37140,390.0,3239.0001,8.305128461538462,-87.65245,35.86345
4,14171,MT,59444,270.0,2321.0001,8.596296666666667,-111.34881,48.65227
5,18302,ND,58528,400.0,3864.0,9.66,-100.62751,46.34174
6,22358,SD,57658,240.0,2435.0,10.145833333333334,-100.55835,45.65744
7,16609,NY,12733,1090.0,11227.0001,10.300000091743119,-74.6102,41.73378
8,25677,VA,24282,330.0,3410.0,10.333333333333334,-83.05533,36.82159
9,22363,SD,57714,640.0,6779.0002,10.5921878125,-101.91843,43.32689
10,3949,FL,32831,310.0,3355.0001,10.822580967741937,-81.14729,28.47439
11,22339,SD,57577,860.0,9379.0001,10.905814069767441,-101.66029,43.52353
12,22822,TN,38126,4640.0,53249.0001,11.47607760775862,-90.04378,35.12695
13,14320,NE,68039,1080.0,12651.0,11.713888888888889,-96.34397,42.112
14,22334,SD,57566,610.0,7192.0002,11.790164262295082,-101.10019,43.31237
15,22387,SD,57764,1180.0,14002.0002,11.86610186440678,-102.75539,43.23676
16,5175,GA,31903,14670.0,174949.0,11.925630538513975,-84.95321,32.41484
17,19147,OH,45225,5680.0,67820.0001,11.940140862676056,-84.55267,39.14341
18,18943,OH,44510,1590.0,19028.0,11.967295597484277,-80.67424,41.12246
19,26145,WA,98813,5350.0,64585.0001,12.071962635514017,-119.61063,48.01107
20,22251,SD,57339,1140.0,13783.0002,12.09035105263158,-99.47862,44.11233
21,22609,TN,37410,3140.0,38512.0001,12.264968184713375,-85.31366,35.002
22,11281,MI,48211,3980.0,48926.0001,12.29296484924623,-83.04616,42.38175
23,27175,WI,54150,720.0,8863.0002,12.309722500000001,-88.7906,44.97237
24,22338,SD,57572,1010.0,12502.0002,12.37821801980198,-101.08491,43.12009
25,15824,NM,88024,760.0,9437.0001,12.417105394736842,-106.61803,32.06539
26,11280,MI,48210,19900.0,247270.0,12.425628140703518,-83.12875,42.33644
27,11282,MI,48212,34760.0,432982.0,12.45632911392405,-83.05601,42.41003
28,20741,PA,16256,1890.0,23553.0,12.461904761904762,-79.13611,40.8661
29,8989,KY,40902,440.0,5497.0001,12.493182045454546,-83.62435,36.84824
30,23106,TX,75210,6150.0,76961.0001,12.513983756097561,-96.74618,32.77141
31,24027,TX,78040,36270.0,454944.0,12.543258891645989,-99.50232,27.51349
32,26948,WI,53206,16990.0,213544.0,12.568805179517364,-87.93349,43.07524
33,22606,TN,37407,7000.0,88327.0,12.618142857142857,-85.28941,35.002
34,18788,OH,44104,12730.0,160767.0,12.628986645718774,-81.62702,41.48238
35,18941,OH,44507,3000.0,37997.0001,12.6656667,-80.65542,41.07436
36,1133,AR,72168,330.0,4201.0002,12.730303636363638,-91.96771,34.43719
37,9403,KY,42634,1010.0,12922.0001,12.794059504950495,-84.41601,36.88043
38,13561,MO,64126,4950.0,63519.0001,12.832121232323232,-94.49581,39.09095
39,13240,MO,63106,6570.0,84444.0,12.852968036529681,-90.20795,38.64445
40,6104,IL,61605,9970.0,128465.0,12.885155466399198,-89.63317,40.6765
41,2192,CA,93701,8920.0,115547.0,12.953699551569507,-119.78772,36.74955
42,8977,KY,40826,380.0,4924.0001,12.957895,-82.7783,37.05637
43,15696,NM,87037,570.0,7399.0,12.980701754385965,-107.78087,36.18392
44,13026,MS,39203,2870.0,37322.0,13.00418118466899,-90.20042,32.30928
45,15838,NM,88081,14180.0,184425.0,13.005994358251058,-106.28821,32.24958
46,22809,TN,38108,13170.0,171537.0,13.024829157175398,-89.96382,35.1763
47,26330,WV,24815,230.0,2999.0,13.039130434782608,-81.63026,37.22036
48,15811,NM,87941,1350.0,17606.0001,13.041481555555556,-107.21424,32.7055
49,795,AZ,85542,2410.0,31596.0002,13.110373526970953,-110.30145,33.28633
50,497,AL,36610,7370.0,96830.0001,13.13839892808684,-88.07389,30.73721
51,1817,CA,92254,14360.0,188706.0,13.14108635097493,-115.99995,33.54371
52,8995,KY,40927,250.0,3301.0002,13.2040008,-83.03445,36.89081
53,298,AL,36017,1450.0,19156.0001,13.211034551724138,-85.55411,31.68142
54,15836,NM,88063,11170.0,147645.0,13.217994628469114,-106.58259,31.80715
55,22327,SD,57548,1110.0,14674.0002,13.21982,-99.62373,44.08429
56,19744,OK,74110,11450.0,151392.0,13.222008733624454,-95.95377,36.18856
57,9124,KY,41464,330.0,4364.0002,13.22424303030303,-82.97201,37.65974
58,19506,OK,73129,14910.0,199036.0,13.34916163648558,-97.48433,35.43165
59,4178,FL,33493,3270.0,43764.0001,13.383486269113149,-80.72306,26.47559
60,24197,TX,78537,44560.0,596565.0,13.3879039497307,-98.05744,26.17322
61,24215,TX,78576,12270.0,164287.0,13.389323553382233,-98.46799,26.32584
62,18940,OH,44506,1600.0,21435.0002,13.396875125,-80.62583,41.09356
63,22332,SD,57560,270.0,3620.0002,13.407408148148148,-101.21226,43.44006
64,24227,TX,78595,5690.0,76317.0001,13.41247804920914,-98.54038,26.31457
65,9769,LA,71202,18830.0,252824.0,13.426659585767393,-92.05663,32.39549
66,24581,TX,79849,12950.0,174586.0,13.4815444015444,-106.25275,31.56449
67,508,AL,36720,650.0,8807.0001,13.549230923076921,-87.34684,32.16493
68,1873,CA,92401,1630.0,22203.0001,13.62147245398773,-117.29188,34.10586
69,15701,NM,87045,1490.0,20302.0002,13.625503489932886,-108.00182,35.40018
70,13027,MS,39204,11130.0,151833.0,13.64177897574124,-90.23689,32.28313
71,5002,GA,31206,20400.0,278370.0,13.645588235294118,-83.6832,32.79383
72,14083,MT,59022,2390.0,32779.0002,13.715062845188285,-107.26756,45.57541
73,26410,WV,25114,280.0,3851.0,13.753571428571428,-81.7986,37.98199
74,9690,LA,70805,19640.0,270295.0,13.762474541751528,-91.15951,30.48831
75,9185,KY,41667,280.0,3855.0002,13.767857857142857,-82.69881,37.31138
76,14114,MT,59089,340.0,4687.0,13.785294117647059,-107.34476,45.09259
77,6305,IL,62204,3250.0,44818.0,13.790153846153846,-90.09642,38.63033
78,9107,KY,41267,640.0,8843.0001,13.817187656249999,-82.43591,37.87514
79,23750,TX,77060,31560.0,436797.0001,13.840209128643853,-95.39697,29.93567
80,24583,TX,79901,9580.0,132591.0001,13.840396670146138,-106.48049,31.7597
81,19751,OK,74126,8220.0,113850.0,13.85036496350365,-96.0331,36.23502
82,15704,NM,87052,2620.0,36318.0001,13.86183209923664,-106.36935,35.52867
83,11279,MI,48209,19620.0,272077.0,13.867329255861366,-83.11649,42.30524
84,499,AL,36612,2920.0,40551.0,13.887328767123288,-88.11285,30.75283
85,24031,TX,78046,68710.0,955596.0,13.907669917042643,-99.36803,27.38371
86,2193,CA,93702,38670.0,538489.0001,13.92523920610292,-119.75422,36.73942
87,13254,MO,63120,5420.0,75582.0001,13.945018468634688,-90.26211,38.69061
88,19153,OH,45232,5220.0,73139.0,14.011302681992337,-84.51673,39.1818
89,2037,CA,93219,9020.0,126424.0001,14.015964534368072,-119.28818,35.87908
90,20804,PA,16503,10950.0,153649.0001,14.031872155251142,-80.06103,42.12718
